Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.9839872860641
FDW14,OUT017,1349.5129043321297
NCN55,OUT010,471.3068466911769
FDQ58,OUT017,2432.6625807321775
FDY38,OUT027,5041.821497446808
FDH56,OUT046,1892.066144516128
FDL48,OUT018,790.3307954098364
FDC48,OUT027,2846.4008225165558
FDN33,OUT045,1559.9736407643313
FDA36,OUT017,3190.643467582418
FDT44,OUT017,1892.066144516128
FDQ56,OUT045,1349.5129043321297
NCC54,OUT019,471.3068466911769
FDU11,OUT049,2006.470742319749
DRL59,OUT013,790.3307954098364
FDM24,OUT049,2432.6625807321775
FDI57,OUT045,3011.5252991596617
DRC12,OUT018,3011.5252991596617
NCM42,OUT027,2846.4008225165558
FDA46,OUT010,471.3068466911769
FDA31,OUT013,2843.569789215686
NCJ31,OUT035,3549.850947508305
FDG52,OUT046,790.3307954098364
NCL19,OUT019,207.13050352504652
FDS10,OUT035,3190.643467582418
FDX22,OUT010,471.3068466911769
NCF19,OUT035,790.3307954098364
NCE06,OUT046,2633.8398439024368
DRC27,OUT046,3805.9486041666687
FDE21,OUT035,1892.066144516128
NCR42,OUT019,207.13050352504652
FDX51,OUT018,3011.5252991596617
NCR06,OUT018,646.0888157894739
FDU31,OUT027,5041.821497446808
FDU59,OUT017,2633.8398439024368
FDR03,OUT027,5041.821497446808
FDS49,OUT027,2846.4008225165558
FDD48,OUT010,207.13050352504652
NCF18,OUT017,3011.5252991596617
NCD43,OUT027,2846.4008225165558
NCD54,OUT018,2117.4513803278687
FDY19,OUT010,207.13050352504652
NCY54,OUT017,2843.569789215686
NCL19,OUT018,2432.6625807321775
FDP23,OUT010,471.3068466911769
FDC26,OUT013,1673.9839872860641
FDR14,OUT010,207.13050352504652
NCS41,OUT035,3190.643467582418
FDF41,OUT035,3549.850947508305
FDU34,OUT046,2117.4513803278687
DRH11,OUT046,1068.506765834932
FDM03,OUT013,1673.9839872860641
FDS31,OUT017,3190.643467582418
FDJ20,OUT017,2117.4513803278687
FDV44,OUT027,5041.821497446808
FDG02,OUT049,3190.643467582418
FDA09,OUT013,2843.569789215686
FDT04,OUT013,646.0888157894739
FDL58,OUT019,471.3068466911769
FDE52,OUT045,1349.5129043321297
FDW12,OUT035,2432.6625807321775
FDL51,OUT017,3805.9486041666687
NCY42,OUT027,2846.4008225165558
FDR07,OUT017,1559.9736407643313
FDN40,OUT045,2432.6625807321775
FDB35,OUT027,2846.4008225165558
FDA22,OUT017,2633.8398439024368
NCL06,OUT046,4125.174474540677
FDI35,OUT013,3190.643467582418
NCW42,OUT045,3805.9486041666687
NCX06,OUT049,2843.569789215686
FDC37,OUT027,2846.4008225165558
FDZ14,OUT018,2006.470742319749
DRG49,OUT049,3549.850947508305
NCG06,OUT045,4125.174474540677
DRC36,OUT045,2843.569789215686
FDV21,OUT019,207.13050352504652
FDB53,OUT046,2432.6625807321775
DRP47,OUT019,471.3068466911769
FDA14,OUT013,2432.6625807321775
DRC24,OUT035,2432.6625807321775
FDW21,OUT018,1559.9736407643313
NCH29,OUT046,1559.9736407643313
FDU58,OUT013,3190.643467582418
FDY27,OUT017,2843.569789215686
FDV56,OUT035,1673.9839872860641
FDT59,OUT046,3805.9486041666687
FDB23,OUT046,3805.9486041666687
FDR49,OUT045,790.3307954098364
FDB03,OUT010,471.3068466911769
FDN39,OUT045,2633.8398439024368
FDX02,OUT027,5041.821497446808
FDQ16,OUT027,2846.4008225165558
FDU35,OUT018,1559.9736407643313
NCT29,OUT013,2006.470742319749
FDZ27,OUT046,790.3307954098364
FDN57,OUT017,2117.4513803278687
FDA03,OUT018,2432.6625807321775
FDZ36,OUT045,3190.643467582418
NCU05,OUT013,1349.5129043321297
FDT39,OUT018,2432.6625807321775
FDK60,OUT017,1559.9736407643313
FDZ25,OUT017,2633.8398439024368
FDG12,OUT046,2006.470742319749
DRB01,OUT019,471.3068466911769
NCC43,OUT027,5041.821497446808
FDX13,OUT019,471.3068466911769
FDM22,OUT049,1068.506765834932
FDJ03,OUT027,790.3307954098364
FDU14,OUT018,4125.174474540677
FDB33,OUT010,471.3068466911769
FDP27,OUT046,3011.5252991596617
FDO38,OUT010,207.13050352504652
FDE28,OUT027,5041.821497446808
FDO27,OUT035,1559.9736407643313
DRL23,OUT027,2846.4008225165558
FDS28,OUT046,1068.506765834932
FDX24,OUT013,1349.5129043321297
FDZ02,OUT035,1559.9736407643313
FDL46,OUT045,1892.066144516128
FDS60,OUT027,5041.821497446808
NCO06,OUT017,646.0888157894739
FDO16,OUT035,1349.5129043321297
FDC60,OUT049,1349.5129043321297
FDA48,OUT018,3549.850947508305
FDZ36,OUT027,5041.821497446808
FDK27,OUT045,2006.470742319749
FDW23,OUT018,646.0888157894739
FDM14,OUT018,1673.9839872860641
FDM14,OUT013,1673.9839872860641
FDW60,OUT018,2843.569789215686
FDE21,OUT013,1892.066144516128
NCM42,OUT035,1673.9839872860641
FDY59,OUT010,207.13050352504652
DRI49,OUT049,1349.5129043321297
FDT28,OUT019,471.3068466911769
FDQ22,OUT018,646.0888157894739
FDR60,OUT049,1349.5129043321297
FDC50,OUT019,207.13050352504652
FDV24,OUT013,2432.6625807321775
DRF48,OUT010,471.3068466911769
FDQ47,OUT046,646.0888157894739
DRN36,OUT049,1559.9736407643313
NCY06,OUT035,2117.4513803278687
FDE52,OUT035,1349.5129043321297
NCB54,OUT045,2006.470742319749
NCF31,OUT035,2432.6625807321775
FDJ08,OUT027,5041.821497446808
NCC07,OUT017,1673.9839872860641
NCD19,OUT027,1068.506765834932
FDL46,OUT049,1892.066144516128
FDM20,OUT045,3805.9486041666687
NCI06,OUT010,471.3068466911769
DRM11,OUT035,4125.174474540677
NCH07,OUT018,2633.8398439024368
FDS23,OUT013,2006.470742319749
FDO49,OUT018,790.3307954098364
FDS35,OUT049,1068.506765834932
DRK39,OUT045,1349.5129043321297
DRI39,OUT049,1068.506765834932
FDV04,OUT017,2633.8398439024368
NCN14,OUT035,3190.643467582418
FDH08,OUT013,3805.9486041666687
FDS20,OUT046,3190.643467582418
FDV40,OUT049,1068.506765834932
FDZ48,OUT010,207.13050352504652
FDS24,OUT027,2846.4008225165558
FDK44,OUT049,2843.569789215686
FDS48,OUT045,2432.6625807321775
FDK26,OUT010,471.3068466911769
FDD23,OUT045,3190.643467582418
NCH54,OUT017,2633.8398439024368
NCP14,OUT010,207.13050352504652
FDM60,OUT010,207.13050352504652
FDV24,OUT017,2432.6625807321775
FDH08,OUT018,3805.9486041666687
FDS12,OUT027,2846.4008225165558
FDR39,OUT027,5041.821497446808
FDP12,OUT027,646.0888157894739
DRF60,OUT027,5041.821497446808
FDC09,OUT035,1673.9839872860641
FDF50,OUT018,3011.5252991596617
FDG28,OUT035,3805.9486041666687
NCE19,OUT017,1068.506765834932
NCM53,OUT010,207.13050352504652
NCN18,OUT049,1673.9839872860641
FDF32,OUT035,3011.5252991596617
FDF11,OUT013,3805.9486041666687
DRI59,OUT049,3805.9486041666687
NCG54,OUT035,2633.8398439024368
FDM44,OUT046,1559.9736407643313
FDT57,OUT018,3805.9486041666687
FDV24,OUT046,2432.6625807321775
FDI50,OUT019,471.3068466911769
FDS09,OUT035,790.3307954098364
NCC31,OUT027,5041.821497446808
FDQ07,OUT019,471.3068466911769
FDC22,OUT017,3011.5252991596617
FDZ56,OUT046,2633.8398439024368
FDZ40,OUT019,207.13050352504652
FDS46,OUT027,2846.4008225165558
DRD24,OUT045,2117.4513803278687
FDV45,OUT017,3190.643467582418
FDL26,OUT045,2432.6625807321775
FDA56,OUT018,2006.470742319749
FDN27,OUT046,1892.066144516128
FDM20,OUT049,3805.9486041666687
FDO16,OUT017,1349.5129043321297
FDL03,OUT035,3011.5252991596617
FDE58,OUT046,1892.066144516128
FDI02,OUT027,2846.4008225165558
NCC55,OUT019,207.13050352504652
FDR03,OUT018,3805.9486041666687
FDB14,OUT017,1349.5129043321297
FDR45,OUT013,3805.9486041666687
NCN07,OUT017,2117.4513803278687
FDM51,OUT019,207.13050352504652
FDT52,OUT027,5041.821497446808
FDL26,OUT046,2432.6625807321775
NCZ42,OUT046,3805.9486041666687
DRI47,OUT019,471.3068466911769
FDW40,OUT013,2117.4513803278687
FDN34,OUT046,2633.8398439024368
FDS01,OUT035,2843.569789215686
NCG55,OUT045,1892.066144516128
FDC11,OUT035,1349.5129043321297
FDX35,OUT018,3549.850947508305
NCB06,OUT046,2633.8398439024368
FDR09,OUT019,471.3068466911769
FDC53,OUT017,1559.9736407643313
FDY45,OUT013,4125.174474540677
FDA22,OUT010,471.3068466911769
FDE02,OUT035,1559.9736407643313
FDW21,OUT045,1559.9736407643313
FDV34,OUT046,1068.506765834932
FDS59,OUT049,1673.9839872860641
NCW17,OUT017,2117.4513803278687
NCK54,OUT046,1892.066144516128
FDG17,OUT019,471.3068466911769
FDG35,OUT017,2843.569789215686
FDD08,OUT010,207.13050352504652
