Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1642.1779768581237
FDW14,OUT017,1355.2354249147259
NCN55,OUT010,592.6434510981104
FDQ58,OUT017,2499.900563328656
FDY38,OUT027,6248.363905548922
FDH56,OUT046,1952.7891551807857
FDL48,OUT018,738.7766742411326
FDC48,OUT027,2222.360794102371
FDN33,OUT045,1526.3669587927748
FDA36,OUT017,3101.607904034158
FDT44,OUT017,1939.6273854057151
FDQ56,OUT045,1370.5232260802065
NCC54,OUT019,587.3287182392322
FDU11,OUT049,2029.3440945086047
DRL59,OUT013,786.1871939607103
FDM24,OUT049,2477.4090870703603
FDI57,OUT045,3069.911720465885
DRC12,OUT018,2930.126489171251
NCM42,OUT027,2907.2814273990425
FDA46,OUT010,494.7658661059834
FDA31,OUT013,2868.8468736576733
NCJ31,OUT035,3918.7037374528927
FDG52,OUT046,756.6204892303549
NCL19,OUT019,302.92959029704366
FDS10,OUT035,2975.1073559506203
FDX22,OUT010,550.8466627560919
NCF19,OUT035,756.6204892303549
NCE06,OUT046,2569.733821790387
DRC27,OUT046,3970.7870413879946
FDE21,OUT035,1973.4674730140039
NCR42,OUT019,90.67280097403199
FDX51,OUT018,2988.589989106938
NCR06,OUT018,607.8357807497453
FDU31,OUT027,5517.684442192279
FDU59,OUT017,2577.5525206684474
FDR03,OUT027,5492.909341437963
FDS49,OUT027,2237.243572755423
FDD48,OUT010,258.7383057188446
NCF18,OUT017,3042.5727522416064
NCD43,OUT027,2558.315175985285
NCD54,OUT018,2003.4338208643114
FDY19,OUT010,263.19234933686135
NCY54,OUT017,2879.154482951327
NCL19,OUT018,2328.6622894278935
FDP23,OUT010,547.9442234671837
FDC26,OUT013,1751.822322073237
FDR14,OUT010,165.1780974133231
NCS41,OUT035,3115.4963689875653
FDF41,OUT035,3965.9076289215345
FDU34,OUT046,2048.4820453953334
DRH11,OUT046,858.5094788487138
FDM03,OUT013,1642.259515865946
FDS31,OUT017,3038.2699118036603
FDJ20,OUT017,2024.070080673364
FDV44,OUT027,5043.928476604906
FDG02,OUT049,3133.2167295865556
FDA09,OUT013,2991.4317423655225
FDT04,OUT013,611.8866921516717
FDL58,OUT019,581.2153739192534
FDE52,OUT045,1382.9260140672022
FDW12,OUT035,2480.458084353884
FDL51,OUT017,3632.740692387112
NCY42,OUT027,3397.11327192924
FDR07,OUT017,1529.7192106682714
FDN40,OUT045,2478.0433123966754
FDB35,OUT027,2509.8928648414685
FDA22,OUT017,2589.3643031826387
NCL06,OUT046,4126.528816908395
FDI35,OUT013,3022.1304677964667
NCW42,OUT045,3697.7436081790092
NCX06,OUT049,3004.0773483048724
FDC37,OUT027,2579.7511188951808
FDZ14,OUT018,1904.984814940377
DRG49,OUT049,3991.914877131711
NCG06,OUT045,4072.301945453399
DRC36,OUT045,2881.3017119691094
FDV21,OUT019,298.3942767132626
FDB53,OUT046,2503.2234293230636
DRP47,OUT019,587.6506157333247
FDA14,OUT013,2468.8973731352908
DRC24,OUT035,2532.8462488389587
FDW21,OUT018,1603.152261180356
NCH29,OUT046,1544.105033772135
FDU58,OUT013,3101.4626814297676
FDY27,OUT017,2902.1174833830514
FDV56,OUT035,1654.3100465044297
FDT59,OUT046,3845.035161593809
FDB23,OUT046,3732.2216469123478
FDR49,OUT045,752.2536189020644
FDB03,OUT010,592.6137392548404
FDN39,OUT045,2664.7476290567015
FDX02,OUT027,5797.595060771872
FDQ16,OUT027,2592.1416544341173
FDU35,OUT018,1554.1138356597587
NCT29,OUT013,2031.563163214071
FDZ27,OUT046,755.1428498356083
FDN57,OUT017,2056.8114977787104
FDA03,OUT018,2346.308059686197
FDZ36,OUT045,3068.6790679790956
NCU05,OUT013,1306.2759484474263
FDT39,OUT018,2326.4250112704885
FDK60,OUT017,1531.796451388829
FDZ25,OUT017,2814.934429756248
FDG12,OUT046,2068.5650138493233
DRB01,OUT019,495.1872431299182
NCC43,OUT027,6246.492662413945
FDX13,OUT019,576.7373911281671
FDM22,OUT049,823.0817107016222
FDJ03,OUT027,1257.6736215814717
FDU14,OUT018,3662.9848226771633
FDB33,OUT010,380.61602954426917
FDP27,OUT046,3113.5820371174404
FDO38,OUT010,178.14812192243141
FDE28,OUT027,6248.363905548922
FDO27,OUT035,1528.4575406205693
DRL23,OUT027,2579.7511188951808
FDS28,OUT046,855.8994624000667
FDX24,OUT013,1438.9746791312803
FDZ02,OUT035,1527.94296510178
FDL46,OUT045,1909.256751310808
FDS60,OUT027,4897.108971410574
NCO06,OUT017,599.4444415727928
