Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.536047833205
FDW14,OUT017,1472.8167043467613
NCN55,OUT010,1875.6528589428972
FDQ58,OUT017,2593.6446904971817
FDY38,OUT027,5181.558341361705
FDH56,OUT046,1929.5441416826534
FDL48,OUT018,599.5592527786773
FDC48,OUT027,2785.374528249256
FDN33,OUT045,1511.6729585743815
FDA36,OUT017,3092.9329396196845
FDT44,OUT017,1990.6522548427956
FDQ56,OUT045,1310.7967501522805
NCC54,OUT019,1850.4204701724502
FDU11,OUT049,2056.4553264741276
DRL59,OUT013,863.1820557160033
FDM24,OUT049,2560.9554667923835
FDI57,OUT045,3082.6540637653347
DRC12,OUT018,2761.772689708628
NCM42,OUT027,3198.637824504157
FDA46,OUT010,1127.5311707592336
FDA31,OUT013,2802.465176924305
NCJ31,OUT035,3868.440108961401
FDG52,OUT046,772.0289774361511
NCL19,OUT019,368.8062044770204
FDS10,OUT035,3021.160300067586
FDX22,OUT010,1470.3870733970493
NCF19,OUT035,925.6346340875689
NCE06,OUT046,2538.1832227604355
DRC27,OUT046,3849.8267853622324
FDE21,OUT035,2000.198360414959
NCR42,OUT019,-1358.448875668138
FDX51,OUT018,2876.745245803822
NCR06,OUT018,433.68143720514604
FDU31,OUT027,4953.875894249831
FDU59,OUT017,2713.0407667775676
FDR03,OUT027,4762.006320803969
FDS49,OUT027,2755.2540326824696
FDD48,OUT010,-65.53169856750469
NCF18,OUT017,3113.648647135798
NCD43,OUT027,3104.464323311424
NCD54,OUT018,1992.4352624736443
FDY19,OUT010,-65.81468751895068
NCY54,OUT017,2808.8790343316286
NCL19,OUT018,2022.6901783157032
FDP23,OUT010,1539.08155682685
FDC26,OUT013,1818.5202771082663
FDR14,OUT010,-1044.9910231598692
NCS41,OUT035,3030.2701837270356
FDF41,OUT035,4044.5232440648497
FDU34,OUT046,1996.7803865483547
DRH11,OUT046,930.5954574331395
FDM03,OUT013,1732.6542618981323
FDS31,OUT017,3030.857134960186
FDJ20,OUT017,2096.286415970402
FDV44,OUT027,4497.764263731577
FDG02,OUT049,3114.131068251987
FDA09,OUT013,2949.9505561373508
FDT04,OUT013,642.2535009714725
FDL58,OUT019,2291.6205244411153
FDE52,OUT045,1450.8800550785325
FDW12,OUT035,2514.140923824873
FDL51,OUT017,3553.635466079018
NCY42,OUT027,3695.0472364586967
FDR07,OUT017,1660.6567672186754
FDN40,OUT045,2364.062163686269
FDB35,OUT027,2960.572574656499
FDA22,OUT017,2787.4059721580174
NCL06,OUT046,4112.721823910697
FDI35,OUT013,2916.771378794193
NCW42,OUT045,3409.6539436816274
NCX06,OUT049,2943.1713043757213
FDC37,OUT027,3202.2778208844447
FDZ14,OUT018,1741.1222608153107
DRG49,OUT049,3956.858589229939
NCG06,OUT045,3958.111783789477
DRC36,OUT045,2726.573833132868
FDV21,OUT019,42.09795595063457
FDB53,OUT046,2349.160465995809
DRP47,OUT019,2024.8696995514033
FDA14,OUT013,2316.8817462757343
DRC24,OUT035,2571.2093652989142
FDW21,OUT018,1417.1044581295762
NCH29,OUT046,1560.010608623126
FDU58,OUT013,3085.348406582886
FDY27,OUT017,2940.6323899046247
FDV56,OUT035,1958.1717022880798
FDT59,OUT046,3631.097720271682
FDB23,OUT046,3627.4081298151805
FDR49,OUT045,690.2420951205218
FDB03,OUT010,1905.1618086022413
FDN39,OUT045,2631.2901356564093
FDX02,OUT027,4982.915981342165
FDQ16,OUT027,3193.3185750019493
FDU35,OUT018,1330.8121669161103
NCT29,OUT013,1962.6500495547903
FDZ27,OUT046,826.3286926993715
FDN57,OUT017,2347.9667557114867
FDA03,OUT018,2096.955724171719
FDZ36,OUT045,2929.0363898816686
NCU05,OUT013,1327.3155112964862
FDT39,OUT018,2200.915335693516
FDK60,OUT017,1709.7241014387894
FDZ25,OUT017,2851.635689170384
FDG12,OUT046,1921.148432813819
DRB01,OUT019,1156.4144273112815
NCC43,OUT027,5370.969233177315
FDX13,OUT019,2032.8488671200162
FDM22,OUT049,1034.554958935674
FDJ03,OUT027,2312.499818195484
FDU14,OUT018,3686.588473963036
FDB33,OUT010,638.2996195723737
FDP27,OUT046,3011.801041344604
FDO38,OUT010,-671.8269488729845
FDE28,OUT027,5143.84233510243
FDO27,OUT035,1702.0238414696778
DRL23,OUT027,3172.651605497701
FDS28,OUT046,972.9815174759099
FDX24,OUT013,1548.3924473374752
FDZ02,OUT035,1760.1888985822493
FDL46,OUT045,1809.4857796140175
FDS60,OUT027,4300.1585737425485
NCO06,OUT017,632.5544990163023
FDO16,OUT035,1540.2798385701603
FDC60,OUT049,1550.6484286800194
FDA48,OUT018,3194.7317792296553
FDZ36,OUT027,4474.189522190755
FDK27,OUT045,1886.7093912348769
FDW23,OUT018,386.87608124555254
FDM14,OUT018,1512.5478161700878
FDM14,OUT013,1789.3402408965997
FDW60,OUT018,2614.506045985634
FDE21,OUT013,1914.8824502926586
NCM42,OUT035,1892.7877819273103
FDY59,OUT010,-377.10856503908985
DRI49,OUT049,1367.8720651114827
FDT28,OUT019,510.3013113194247
FDQ22,OUT018,408.48631180634356
FDR60,OUT049,1297.2782000568802
FDC50,OUT019,-438.58542015039774
FDV24,OUT013,2444.446924941128
DRF48,OUT010,1091.5943474679152
FDQ47,OUT046,646.028052478908
DRN36,OUT049,1705.0839168080618
NCY06,OUT035,2176.218675055016
FDE52,OUT035,1654.5935900691416
NCB54,OUT045,1944.4388450241722
NCF31,OUT035,2556.015323690319
FDJ08,OUT027,4447.756983853923
NCC07,OUT017,1794.3470621631043
NCD19,OUT027,2333.255350124847
FDL46,OUT049,2023.4975783047917
FDM20,OUT045,3830.9354821734823
NCI06,OUT010,930.2503075261072
DRM11,OUT035,4223.719014235675
NCH07,OUT018,2212.086829139202
FDS23,OUT013,2086.5713533275266
FDO49,OUT018,604.1239599507944
FDS35,OUT049,1161.0853774452858
DRK39,OUT045,1265.1815012540349
DRI39,OUT049,1036.236917741294
FDV04,OUT017,2643.5609215726604
NCN14,OUT035,3004.0124521951066
FDH08,OUT013,3703.0333483259774
FDS20,OUT046,2912.859264965062
FDV40,OUT049,1343.423750300733
FDZ48,OUT010,-147.08502781339052
FDS24,OUT027,2917.2958615489038
FDK44,OUT049,2850.413426293712
FDS48,OUT045,2350.517097664416
FDK26,OUT010,1115.3859647692575
FDD23,OUT045,2976.849553949405
NCH54,OUT017,2614.5345151484953
NCP14,OUT010,-250.08367988548275
FDM60,OUT010,-1190.391066858474
FDV24,OUT017,2509.567102668603
FDH08,OUT018,3360.903621213494
FDS12,OUT027,3461.737017349847
FDR39,OUT027,4313.519480155358
FDP12,OUT027,2128.1532778601086
DRF60,OUT027,5173.7046388895715
FDC09,OUT035,1857.7831813239873
FDF50,OUT018,2908.9853168645536
FDG28,OUT035,4050.426159425392
NCE19,OUT017,992.1606119889675
NCM53,OUT010,-199.9285314475776
NCN18,OUT049,1877.479443467712
FDF32,OUT035,3299.1332001426945
FDF11,OUT013,3876.3880601360406
DRI59,OUT049,3652.313143231896
NCG54,OUT035,2808.761856370207
FDM44,OUT046,1647.966758054986
FDT57,OUT018,3471.4456665316816
FDV24,OUT046,2404.588127923844
FDI50,OUT019,1763.8153769142195
FDS09,OUT035,1043.2673465588814
NCC31,OUT027,3899.7221079817255
FDQ07,OUT019,1596.8189250288542
FDC22,OUT017,3174.8648391780985
FDZ56,OUT046,2704.3627162102503
FDZ40,OUT019,-991.3240498489943
FDS46,OUT027,3401.3602414266397
DRD24,OUT045,2170.674191842766
FDV45,OUT017,3109.8119006153884
FDL26,OUT045,2409.303512912836
FDA56,OUT018,1717.4888980843427
FDN27,OUT046,1901.581934071176
FDM20,OUT049,3978.6188764181734
FDO16,OUT017,1471.552314751502
FDL03,OUT035,3300.094313136251
FDE58,OUT046,1880.9420457459923
FDI02,OUT027,3285.0970623132366
NCC55,OUT019,-1296.3257265818422
FDR03,OUT018,3046.068208214804
FDB14,OUT017,1633.3620079577838
FDR45,OUT013,3820.3457422823894
NCN07,OUT017,2164.1729320878617
FDM51,OUT019,-186.76207275788664
FDT52,OUT027,5369.580129555132
